MADCOWS_Cluster,ACT name,SZMass_M500,SZMass_M500_errPlus,SZMass_M500_errMinus,MADCOWS_Richness,MADCOWS_e_Richness,RADeg,decDeg,SNR,SZMass_redshift,SZMass_redshiftErr,MADCOWS_SNR,MADCOWS_Photz,MADCOWS_dPhotzHigh,MADCOWS_dPhotzLow
MOO J0018+0000,ACT-CL J0019.0-0000,1.666618444,0.369738404,0.30260553,19,5,21.32392499,-8.042113693,6.79614084,1.12,0.05,9.1,1.03,0.03,0.02
MOO J0019+0209,ACT-CL J0019.8+0210,2.764541809,0.592444692,0.487889398,29,6,44.13359426,0.096837075,6.705354002,0.3625,0,9.1,nan,nan,nan
MOO J0028-1005,ACT-CL J0028.1-1005,3.887254404,0.682732878,0.580736055,57,8,15.65836038,2.019190048,6.786417244,1.26,0,9.9,1.17,0.1,0.08
MOO J0048+1757,ACT-CL J0048.4+1757,2.009890129,0.461158477,0.375094957,58,8,21.32474823,-8.037964994,10.63014253,1.12,0.05,9.1,1.03,0.03,0.02
MOO J0101+0030,ACT-CL J0101.7+0030,2.28765189,0.416643983,0.352452705,42,7,44.13258496,0.104028324,8.09294698,0.3625,0,9.1,nan,nan,nan
MOO J0102+0201,ACT-CL J0102.6+0201,2.117866544,0.392626231,0.331221809,20,5,152.1963924,11.79806032,8.584452132,0.225,0,9,nan,nan,nan
MOO J0105+1324,ACT-CL J0105.5+1323,3.015094511,0.524674293,0.446905622,87,9,175.6896603,15.45633793,9.718430778,1.19,0,9.6,1.12,0.04,0.05
MOO J0105-1839,ACT-CL J0105.8-1839,4.391079066,0.749938703,0.640542454,65,8,174.8280844,1.907568219,5.490736299,1.01,0,8.7,nan,nan,nan
MOO J0120-0304,ACT-CL J0120.7-0305,1.759784734,0.366849346,0.303566977,40,6,182.0916984,5.030994738,4.805730296,0.91,0,10.6,0.9,0.05,0.04
MOO J0125-0802,ACT-CL J0125.3-0802,3.539768804,0.550682032,0.476545778,65,8,230.2739124,4.867803423,7.740432847,1.312,0,11,1.28,0.03,0.03
MOO J0129-1640,ACT-CL J0129.2-1641,2.820298195,0.578552859,0.480071518,49,7,231.4626741,15.68239977,7.625747208,1.06,0.09,11.9,1.02,0.05,0.04
MOO J0132+0329,ACT-CL J0131.9+0329,1.703747143,0.355167602,0.293900361,35,6,353.172687,-0.247390465,5.823263826,1.11,0,10,nan,nan,nan
MOO J0136-0959,ACT-CL J0136.0-0959,2.135437911,0.488157663,0.397328914,12,4,4.754100981,-0.012157095,4.953360523,0.869675219,0.013393867,9.5,0.88,0.1,0.08
MOO J0208-0935,ACT-CL J0208.1-0935,1.982401963,0.446475138,0.364404271,24,5,4.965269444,2.168394122,7.597456338,0.856599582,0.05,10.1,0.83,0.07,0.05
MOO J0234-0107,ACT-CL J0234.5-0107,2.029358318,0.424734527,0.351224912,27,5,16.3822187,13.39751693,7.037880082,1.14,0,10,1.13,0.04,0.04
MOO J0239-1035,ACT-CL J0239.6-1036,2.726732687,0.59118866,0.485850409,22,5,16.46991146,-18.66501203,8.351824394,0.930157602,0.018785972,8.9,0.91,0.07,0.06
MOO J0300+0124,ACT-CL J0300.2+0125,3.172700981,0.544414217,0.464678501,37,6,44.13279608,0.104805813,10.77160905,0.3625,0,9.1,nan,nan,nan
MOO J0303+1857,ACT-CL J0303.6+1857,3.252327111,0.539756354,0.462928688,45,7,45.05445611,1.41900673,8.606461642,0.961360872,0.046103593,9.7,1.33,0.04,0.06
MOO J0308-2915,ACT-CL J0308.1-2915,3.008872883,0.562722774,0.474062984,53,7,47.0292618,-29.26225006,6.07597738,1.001015067,0.028409144,11.8,1.01,0.05,0.05
MOO J0353+0832,ACT-CL J0353.3+0832,2.354773799,0.483055698,0.400829896,34,6,143.6013016,17.86567007,7.129150707,0.98,0,11.1,0.96,0.04,0.06
MOO J0448-1705,ACT-CL J0448.4-1705,3.174886271,0.614587085,0.514911682,79,9,152.1970414,11.79858915,11.30914491,0.225,0,9,nan,nan,nan
MOO J0846+1504,ACT-CL J0846.6+1504,2.947358358,0.636554454,0.523493229,26,6,153.5294912,0.642657974,8.835091036,1.23,0,12,1.21,0.05,0.06
MOO J0934+1751,ACT-CL J0934.4+1751,2.839784135,0.49187273,0.419254573,53,7,163.3181191,10.87764418,11.14743381,0.63,0,8.9,0.99,0.07,0.06
MOO J0936+0337,ACT-CL J0936.7+0336,1.582737677,0.351129501,0.287375419,33,5,167.5720257,-0.502207057,5.067679083,1.0094,0.0341598,8.7,nan,nan,nan
MOO J1014+0038,ACT-CL J1014.1+0038,2.745572165,0.471121775,0.40212058,43,6,175.6906095,15.4561052,13.67438508,1.19,0,9.6,1.12,0.04,0.05
MOO J1029+0017,ACT-CL J1029.9+0016,2.343451585,0.424899852,0.359684185,31,5,200.7392746,-2.462456487,5.520535766,1.01,0,9.9,0.82,0.04,0.03
MOO J1048+0743,ACT-CL J1048.7+0743,2.087463843,0.470137099,0.383716701,37,6,208.9583789,16.13082007,5.327312429,1.03,0.07,9.4,1.03,0.07,0.06
MOO J1053+1052,ACT-CL J1053.2+1052,4.363952231,0.699776675,0.603071776,43,7,228.6771024,13.78214451,5.456645124,1.059,0,10.6,1.09,0.04,0.04
MOO J1140+1522,ACT-CL J1140.1+1523,1.697891722,0.359605862,0.296754573,26,5,338.7648183,13.35615451,13.87403214,0.85,0.08,9.6,0.84,0.05,0.04
MOO J1142+1346,ACT-CL J1142.1+1345,2.213280734,0.47430877,0.390602233,33,6,353.170966,-0.247593997,5.808592014,1.026626945,0.077864259,10,nan,nan,nan
MOO J1142+1527,ACT-CL J1142.7+1527,4.286523515,0.68736068,0.592371596,57,7,4.965290938,2.16842318,7.537118562,0.856599582,0,10.1,0.83,0.07,0.05
MOO J1149+0921,ACT-CL J1149.4+0921,2.029358318,0.40957384,0.34079344,30,6,12.12101374,17.95405968,4.589855356,0.7377981,0,9.8,0.82,0.06,0.05
MOO J1204+1525,ACT-CL J1205.0+1525,1.577298141,0.320949354,0.266684308,39,6,16.38170797,13.39729381,6.904755479,1.143,0,10,1.13,0.04,0.04
MOO J1208+0501,ACT-CL J1208.3+0501,2.384139885,0.500974369,0.413984636,43,7,21.32511613,-8.037196796,11.70442907,1.0706,0.0289884,9.1,1.03,0.03,0.02
MOO J1241+0011,ACT-CL J1241.0+0010,2.151673037,0.486414055,0.396728376,34,6,22.99276633,3.484493626,4.922064602,0.959570169,0.02427662,10,1.14,0.08,0.06
MOO J1254+0948,ACT-CL J1254.9+0947,2.19053933,0.49150435,0.401432541,39,7,32.05,-9.587523998,4.073508314,1.0706,0.0289884,9.2,1.1,0.06,0.05
MOO J1310+1707,ACT-CL J1310.6+1707,1.498944588,0.322479354,0.265385049,49,7,33.07260859,7.776836667,12.03887973,0.4688,0.0205632,8.7,nan,nan,nan
MOO J1322-0228,ACT-CL J1322.9-0227,2.691293089,0.525400852,0.439584153,83,9,38.646088,-1.131842911,5.789145024,0.535879068,0,9.2,1.19,0.09,0.08
MOO J1346-0142,ACT-CL J1346.2-0142,2.374310722,0.438230587,0.369948551,74,8,44.13296247,0.104866724,10.73482614,0.3625,0,9.1,nan,nan,nan
MOO J1354+1329,ACT-CL J1354.8+1330,1.826447363,0.297260179,0.255651995,44,6,45.05445043,1.418885499,8.553812188,0.938032866,0.034002647,9.7,1.33,0.04,0.06
MOO J1355+1606,ACT-CL J1355.8+1607,2.440612043,0.478471501,0.400044497,48,7,45.91645746,18.96446368,8.720953376,1.21,0.07,10.1,1.21,0.06,0.07
